,activity,acc_x_mean,acc_x_std,acc_x_min,acc_x_max,acc_x_median,acc_x_q25,acc_x_q75,acc_x_iqr,acc_x_skew,acc_y_mean,acc_y_std,acc_y_min,acc_y_max,acc_y_median,acc_y_q25,acc_y_q75,acc_y_iqr,acc_y_skew,acc_z_mean,acc_z_std,acc_z_min,acc_z_max,acc_z_median,acc_z_q25,acc_z_q75,acc_z_iqr,acc_z_skew,gyro_x_mean,gyro_x_std,gyro_x_min,gyro_x_max,gyro_x_median,gyro_x_q25,gyro_x_q75,gyro_x_iqr,gyro_x_skew,gyro_y_mean,gyro_y_std,gyro_y_min,gyro_y_max,gyro_y_median,gyro_y_q25,gyro_y_q75,gyro_y_iqr,gyro_y_skew,gyro_z_mean,gyro_z_std,gyro_z_min,gyro_z_max,gyro_z_median,gyro_z_q25,gyro_z_q75,gyro_z_iqr,gyro_z_skew
10,rowing,0.7195738840925343,0.3989894255269757,-0.175965278,1.4105695666666669,0.6228339695785446,0.34425075870262306,1.1065035470275957,0.7622527883249726,0.03779147108484934,0.03979472289206324,0.1163227503192201,-0.30946457,0.36022848,0.0415000438502766,-0.0459679427709472,0.108535750657603,0.1545036934285502,0.11518647416490517,0.41744536658275416,0.5666622898256427,-0.66237134,1.7206036,0.260775151575,-0.10149958211164439,0.9259968995393008,1.027496481650945,0.4643108147271524,0.15823386702794817,0.4971045350104356,-1.0305296,1.89673664,0.1643746777309882,-0.0803467512735833,0.4744668223103412,0.5548135735839245,-0.0014926070389005939,-0.3852452062034183,1.0249744679946629,-2.3854287,5.258328,-0.353462092930432,-1.092420270943241,0.0963652383882862,1.1887855093315272,1.2062779000752033,-0.021768031564964214,0.37311729344230354,-1.018801042,1.03511115,0.057815797552395,-0.3615927299140683,0.19832301184849685,0.5599157417625652,-0.037839997171563305
11,rowing,0.6714777724030678,0.3500233473275496,0.047347106,1.56108778,0.5385304647703582,0.4056945820424165,1.0520935651334602,0.6463989830910437,0.6468198221226285,0.06767788096692746,0.11610352211584724,-0.252965335,0.55059314,0.0702395816076492,-0.0140381768463413,0.12629636940919775,0.14033454625553904,0.7030634072735057,0.5567926466901769,0.5688187784597557,-0.9493827,2.017133,0.47578961,0.0985816297783012,0.9976043024709208,0.8990226726926196,0.14488913583709961,-0.11581273994322676,0.6087171320324579,-3.03844365,2.8069258,-0.1063928236239478,-0.5775714571804133,0.30480478577777775,0.882376242958191,0.019102587246124566,-0.1018718032689076,1.1110049778728086,-2.8008173,3.539614957142857,-0.1310829077295938,-0.8727562784992675,0.5766567535820639,1.4494130320813314,0.2029151996149726,0.017889226803970645,0.42068308402413757,-1.1578950666666668,1.4196508,0.0249900499445295,-0.24226528591377774,0.2954142639218807,0.5376795498356585,0.09902853504400332
12,rowing,0.7125858021795989,0.3477471684494918,0.000244057,1.6717921,0.6038727038779903,0.40688599630263345,1.04759283720764,0.6407068409050065,0.4222518559563297,0.0870595599868084,0.16638766470181243,-0.655659795,0.65077865,0.08943477612,-0.019677114875,0.19019682887872003,0.20987394375372004,-0.10801116871988628,0.483323389807973,0.5387103425213411,-0.72533816,1.61151,0.39771347326944195,0.0895568073625,0.9954332487499999,0.9058764413874999,0.10463044682877172,0.018099243256629087,0.5722362002115488,-2.5619688,1.9895881,-0.00565255992834395,-0.3241129940161434,0.35793649624999996,0.6820494902661434,-0.061096705804945015,-0.0542348495927268,1.1596156449059187,-2.4324653,3.477656,-0.18228946419944192,-0.7907825996310275,0.5058968210616587,1.2966794206926862,0.5811747710677138,0.019751987484007888,0.5079660875690294,-1.3762794,2.7635543,0.03229840467096075,-0.3283076982819718,0.34574973507142853,0.6740574333534004,0.41061522376243215
13,rowing,0.7411376635902138,0.3851627300738926,0.0405135045,1.6185876,0.6061245550050489,0.4221376933333333,1.131510425,0.7093727316666668,0.4205641390955262,0.039549435252621425,0.1231984058240305,-0.46541715,0.4444282499999999,0.040269446,-0.0238199892,0.109656781665961,0.133476770865961,-0.15172405629082994,0.4815996689541683,0.5098541240298687,-0.5017206675,1.5491127166666665,0.398423445,0.089537312038961,0.9133066627618296,0.8237693507228686,0.22272233040061443,-0.008427034282950071,0.5846967745932745,-1.954158,1.6872098,-0.016493361,-0.3008497149102385,0.3441517774125869,0.6450014923228253,-0.5071215456723909,-0.06524752981298666,1.1110206756165055,-2.493552,4.14191062,-0.2106885469887176,-0.63713244,0.396311269921942,1.033443709921942,0.6199906010253642,-0.03237112431415234,0.3818356339812965,-1.32160695,1.1502593,-0.017715095,-0.2614889497930294,0.2118484121636151,0.4733373619566445,-0.031112263155181046
14,rowing,0.6660104664072483,0.3643172907326876,-0.059671995,1.5168158,0.6084821251117287,0.37180140376623366,0.9403631241823375,0.5685617204161038,0.4846260214000093,0.052418864089354256,0.08875045252943943,-0.28042176,0.31556603,0.059979464507181404,-0.00488646840639025,0.10914741499707642,0.11403388340346667,-0.3135523976757808,0.5531262869626177,0.4555249933155886,-0.5973301,1.7585138333333334,0.48092949470170443,0.18760305401134397,0.9415669560538511,0.7539639020425071,0.18902629889592923,-0.006064897227760861,0.5381013241759932,-2.5424211000000003,2.4055874,0.0025827024698759,-0.24277192166829942,0.3201753741490101,0.5629472958173095,-0.2214767339648069,-0.07060540972063198,1.015036048462513,-2.132705071428572,3.7030652,-0.17157666276032002,-0.7444921190246601,0.3974440138760869,1.141936132900747,0.8074855684121083,-0.042536107395323854,0.2848833254696368,-1.0079277,0.9425651,-0.0608376319421471,-0.200811109172631,0.1125474575662222,0.3133585667388532,0.1683463731676419
15,running,1.0965243490971657,1.3145551087182181,-2.0737545,5.6391868,0.95670444,0.1902827296374171,1.9165816,1.7262988703625828,0.43176403730463825,0.1750804493090722,0.7630466032265544,-2.1203694,1.4128474,0.3155932486028108,-0.43930307,0.85175985,1.29106292,-0.5359341719495369,-0.09672631414391651,0.4551905802546328,-1.52535785,1.6188318,-0.132139566,-0.3734078214182876,0.129106276,0.5025140974182876,0.5708811494825168,0.1547588499765374,1.0140281092152144,-2.905275,3.33746215,0.25030088927936,-0.4631922558715944,0.7678576075,1.2310498633715943,-0.05929382433573234,-0.22956122706872673,0.9661475453005275,-5.9760947,1.6853772,-0.163938488194816,-0.5302288723698673,0.2899572673419207,0.820186139711788,-2.654060364468757,0.005429157531714374,2.775020666227676,-7.3713107,6.673092,0.0959816026585919,-2.3365595,2.144748,4.4813075,-0.07394427874973197
16,running,1.1104270978293254,1.150699684276031,-1.6220044,5.0959153,1.065557193881344,0.22489876,1.7411044,1.51620564,0.5231235708407819,0.11676696500261129,0.741099848011097,-1.9092598,1.8044373,0.0290426628012352,-0.3969456046148463,0.7105740131113273,1.1075196177261737,0.006710060533204469,-0.017992564058778564,0.4389670686636952,-1.2090596,1.2974083,-0.065005460286163,-0.319169190071713,0.2292102222217481,0.5483794122934611,0.3543916625937221,0.13607693084003453,1.2558510564123477,-3.9278636,3.1435125,0.0946836698753788,-0.6198746836947585,0.99759856510361,1.6174732487983685,-0.24008454550942324,-0.13562572341670073,1.0502834101831524,-3.318004411764706,2.864958,-0.06566802,-0.759000075,0.5852089,1.344208975,-0.5454091183520468,-0.007983423263380668,3.29689270658696,-7.8404555,7.0823717,0.029321533,-2.832853611111111,2.74465491384704,5.5775085249581515,-0.04302286080366206
17,running,1.2433034803672103,1.3902520449505467,-2.2709527,5.171573,1.1722948692553845,0.2206277649999999,1.9957376981636188,1.7751099331636189,0.40134767358243806,0.02071255557805241,0.8182024446358864,-2.0109097,1.8619128,-0.0577682171715006,-0.631437115,0.77256322,1.404000335,0.018875099013821357,-0.03785621857694244,0.4871677672041513,-1.23505165,3.5834925,-0.1029620838307181,-0.34851375,0.2037870794944544,0.5523008294944545,1.7597994118809424,0.1607195730515147,1.104032503996074,-2.6535985,3.209486,0.1777618,-0.5652538693979708,0.84238315,1.4076370193979708,0.0955863610252408,-0.1675564909443748,0.8813732591175737,-4.3860126,1.9620992,-0.1301473659451505,-0.6793339380252043,0.4410451722631583,1.1203791102883627,-0.8991114099667086,0.006024681902190423,3.6841578096587093,-7.4922625,6.2851925,-0.0588402530782324,-2.9905907987848583,3.6154059,6.605996698784859,-0.20315160236508634
18,running,1.205923372999122,1.2089845791616258,-1.6293261,4.5133505,1.257627,0.3952507249999999,2.078951950003919,1.6837012250039192,-0.10118948664530979,0.08966142866720707,0.8063901638183916,-1.4394496,1.8216432,-0.1017218264701934,-0.6071322542403841,0.8413385796187381,1.4484708338591221,0.32496048807782185,-0.09992693878670027,0.43671317647201985,-1.2415192,1.5556209,-0.12398108,-0.37145513,0.12032023,0.49177536,0.7660122466501443,0.1460010708661354,1.1821995662837312,-2.796541,4.4849725,0.1638479049749545,-0.726471515,0.935234675,1.6617061899999999,0.2190019903221368,-8.431326438507215e-06,0.7465366620068851,-2.2177462500000003,1.9321668,-0.0424684098484416,-0.54672291437568,0.5262604200000001,1.07298333437568,0.1257910721515224,-0.053522796289828124,3.7595596335657357,-6.527706,8.671232,0.0600548365333333,-3.46544079572224,3.3685630844056766,6.834003880127916,0.0890054076549727
19,running,1.1640180251637637,1.2495126204922937,-1.6915607,5.3446097,1.1379169500000001,0.24965080693792008,1.9002500504166666,1.6505992434787466,0.3193964356830419,0.1385758418369817,0.8208713379250521,-1.50925,2.0869334,-0.01677891894934845,-0.5374751124999999,0.8944041167662773,1.4318792292662772,0.23642770358057352,-0.06422737495640687,0.38246134779754803,-1.32279025,1.1408456,-0.11879486175000001,-0.3163132928642559,0.13426612237433627,0.4505794152385922,0.5755466424991971,0.028162122454907724,1.0815659718059547,-4.107458,2.5503623,-0.007330382999999999,-0.6720140945703094,0.8351469805536382,1.5071610751239475,-0.28893963792337446,-0.08764294520515815,0.9525589102140432,-4.9528956,1.9920316,0.0018838304926504998,-0.6843452676301349,0.5897903725,1.274135640130135,-1.0480520739036367,-0.0313999025212313,3.5289181159012704,-6.076277,6.9192705,-0.10313385461992369,-3.189800070156552,3.2294116298886713,6.419211700045223,0.06551471508172287
